"Sample","Date","Resp","season","Tech","Temp","DryWt","tempf","tempgroup"
18,1987-01-01,0.135,"Spring","Mark",4.5,0.569,40.1,"Cold"
19,1987-01-01,0.074,"Spring","Nitnoy",4.5,0.607,40.1,"Cold"
20,1987-01-01,0.089,"Spring","Raisa",4.5,0.597,40.1,"Cold"
21,1987-01-01,0.287,"Spring",NA,NA,NA,NA,NA
22,1987-01-01,0.117,"Spring","Nitnoy",4.5,0.603,40.1,"Cold"
23,1987-02-01,0.085,"Spring","Fatima",5.5,NA,41.9,"Cold"
24,1987-02-01,0.368,"Spring","Cita",5.5,0.565,41.9,"Cold"
25,1987-02-01,0.159,"Spring","Fatima",5.5,0.61,41.9,"Cold"
26,1987-02-01,0.057,"Spring","Mark",5.5,0.64,41.9,"Cold"
27,1987-02-01,0.266,"Spring","Raisa",5.5,0.62,41.9,"Cold"
28,1987-03-01,0.093,"Spring","Cita",5,0.622,41,"Cold"
29,1987-03-01,0.063,"Spring","Raisa",5,0.634,41,"Cold"
30,1987-03-01,0.074,"Spring","Stephano",5,0.613,41,"Cold"
31,1987-03-01,0.073,"Spring","Stephano",5,0.611,41,"Cold"
32,1987-03-01,0.064,"Spring","Raisa",5,0.626,41,"Cold"
33,1987-04-01,0.176,"Spring","Nitnoy",8,0.528,46.4,"Hot"
34,1987-04-01,0.105,"Spring","LaVerna",8,0.642,46.4,"Hot"
35,1987-04-01,0.097,"Spring","Stephano",8,0.627,46.4,"Hot"
36,1987-04-01,0.116,"Spring","Raisa",8,0.574,46.4,"Hot"
37,1987-04-01,0.185,"Spring","Cita",8,0.619,46.4,"Hot"
38,1987-05-01,0.178,"Spring","Nitnoy",14.5,0.739,58.1,"Hot"
39,1987-05-01,0.302,"Spring","Fatima",14.5,0.732,58.1,"Hot"
40,1987-05-01,0.097,"Spring","Raisa",14.5,0.749,58.1,"Hot"
41,1987-05-01,0.092,"Spring","Raisa",14.5,0.694,58.1,"Hot"
42,1987-05-01,0.267,"Spring","Nitnoy",14.5,0.709,58.1,"Hot"
43,1987-06-01,0.207,"Spring","Mark",10.5,0.65,50.9,"Hot"
44,1987-06-01,0.175,"Spring","Stephano",10.5,0.62,50.9,"Hot"
45,1987-06-01,0.043,"Spring","Stephano",10.5,0.728,50.9,"Hot"
46,1987-06-01,0.523,"Spring","Raisa",10.5,0.67,50.9,"Hot"
47,1987-06-01,0.122,"Spring","Cita",10.5,0.679,50.9,"Hot"
48,1987-07-01,0.089,"Fall","Mark",13,0.787,55.4,"Hot"
49,1987-07-01,0.106,"Fall","Raisa",13,0.793,55.4,"Hot"
50,1987-07-01,0.119,"Fall","Mark",13,0.727,55.4,"Hot"
51,1987-07-01,0.058,"Fall","Stephano",13,0.785,55.4,"Hot"
52,1987-07-01,0.081,"Fall","Raisa",13,0.795,55.4,"Hot"
53,1987-08-01,0.093,"Fall","Nitnoy",14,0.765,57.2,"Hot"
54,1987-08-01,0.143,"Fall","Stephano",14,0.768,57.2,"Hot"
55,1987-08-01,0.111,"Fall","Stephano",14,0.804,57.2,"Hot"
56,1987-08-01,0.224,"Fall","Fatima",14,0.791,57.2,"Hot"
57,1987-08-01,0.205,"Fall","Nitnoy",14,0.709,57.2,"Hot"
58,1987-09-01,0.274,"Fall","Nitnoy",19,0.801,66.2,"Hot"
59,1987-09-01,0.085,"Fall","Cita",19,0.808,66.2,"Hot"
60,1987-09-01,0.207,"Fall","Fatima",19,0.779,66.2,"Hot"
61,1987-09-01,0.08,"Fall","Raisa",19,0.83,66.2,"Hot"
62,1987-09-01,0.121,"Fall","Mark",19,0.828,66.2,"Hot"
63,1987-10-01,0.065,"Fall","Raisa",16,0.848,60.8,"Hot"
64,1987-10-01,0.107,"Fall","LaVerna",16,0.844,60.8,"Hot"
65,1987-10-01,0.086,"Fall","Fatima",16,0.82,60.8,"Hot"
66,1987-10-01,0.072,"Fall","Mark",16,0.859,60.8,"Hot"
67,1987-10-01,0.063,"Fall","Cita",16,0.836,60.8,"Hot"
68,1987-11-01,0.05,"Fall","Raisa",11.5,0.77,52.7,"Hot"
69,1987-11-01,0.114,"Fall","Mark",11.5,0.781,52.7,"Hot"
70,1987-11-01,0.08,"Fall","Fatima",11.5,0.786,52.7,"Hot"
71,1987-11-01,0.07,"Fall","Raisa",11.5,0.753,52.7,"Hot"
72,1987-11-01,0.094,"Fall","Mark",11.5,0.759,52.7,"Hot"
73,1987-12-01,0.069,"Fall","LaVerna",7,0.695,44.6,"Cold"
74,1987-12-01,0.055,"Fall","Raisa",7,0.656,44.6,"Cold"
75,1987-12-01,0.023,"Fall","Raisa",7,0.701,44.6,"Cold"
76,1987-12-01,0.052,"Fall","Raisa",7,0.685,44.6,"Cold"
77,1987-12-01,0.076,"Fall","Nitnoy",7,0.661,44.6,"Cold"
